Category,Subcategory,Text
Meeting,Annual Meeting,"NPV: April 2021 Annual Meeting Hi Team,

Please find enclosed meeting invite for NPV Annual Meeting to be held on April 20th, 2021(regular meeting day) at 6:00 PM.

Thanks,
Sara
    "
Meeting,Annual Meeting,Accepted: NPV: April 2021 Annual Meeting nan    
Meeting,Annual Meeting,Accepted: NPV: April 2021 Annual Meeting nan    
Meeting,Annual Meeting,Accepted: NPV: April 2021 Annual Meeting nan    
Meeting,Annual Meeting,Accepted: NPV: April 2021 Annual Meeting nan    
Meeting,Annual Meeting,"FW: NPV: April 2021 Annual Meeting Hi Nitin,

Gentle Reminder to accept the NPV Annual meeting invite.

Kindly let us know if you have any questions. You can reach us at or call us at logo]



-----Original Appointment-----
    "
Meeting,Annual Meeting,Accepted: NPV: April 2021 Annual Meeting nan    
Meeting,Annual Meeting,"Meeting Forward Notification: NPV: April 2021 Annual Meeting Your meeting was forwarded

PROPVIVO Customer Service<mailto:services@propvivo.com>  has forwarded your meeting request to additional recipients.

        Meeting
        NPV: April 2021 Annual Meeting

        Meeting Time
        20 April 2021 18:00-19:00.

        Recipients
        Nitin Dixit<mailto:nitin@propvivo.com>

All times listed are in the following time zone: (UTC-08:00) Pacific Time (US & Canada)
    "
Other,Other,"Get The Lowest Rates On Working Capital - Monthly Payment Options & Line Of Credit Loans Consolidate Your Existing Loans - Get Funds In Your Account you would like to unsubscribe please reply with unsubscribe.
﻿

We would love to help provide some capital to help grow your business.

Annoyed with daily payments? Let us consolidate the daily loans and convert it to a weekly or monthly payment at a lower rate.

We specialize in all positions whether you have an open advance or several.

We work with businesses in all 50 states and we are known for our reputation and honesty.

We offer daily/weekly/monthly payment options.

We offer the lowest rates around.

Check us out on the web at FILL OUT THE APPLICATION BELOW VIA DOCUSIGN
THEN JUST REPLY TO THIS EMAIL WITH DECEMBER - FEBRUARY BANK STATEMENTS AND I WILL GET BACK TO YOU WITHIN MINUTES
Click Here For Young
Rosewood Capital Capital Group | New York, New York, NY 10011
Unsubscribe | Customer Contact Data by powered by
[Trusted Email from Constant Contact - Try it FREE today.] email marketing for free    "
Payment,Balance Information,"788930RT: 5112 Browns Point Boulevard, Unit D, Tacoma, WA  98422: HOA due Can you verify there is a credit due to the seller?

for current balance it shows ""prepaid with 190"" - please clarify - Thank  you1





TEAM STEVENS
Email: teamstevens@rainiertitle.com
Office: (425) 252-1222
Fax: (425) 329-2197

[rainiertitle]  Kelly Stevens
Escrow Branch Manager
RAINIER TITLE, LLC
www.rainiertitle.com
kellys@rainiertitle.com
(425) 551-5571 PHONE
(425) 329-2171 FAX
LPO# 3078
ALTA# 1110498

[rainiertitle]  Porsha Brown
Escrow Assistant
RAINIER TITLE, LLC
www.rainiertitle.com
porshab@rainiertitle.com
(425) 551-5516 PHONE
(425) 329-2211 FAX
ALTA# 1160967

[rainiertitle]  Hailey Geline
Escrow Assistant
RAINIER TITLE, LLC
www.rainiertitle.com
haileyg@rainiertitle.com
(425) 551-5573 PHONE
(425) 329-2170 FAX
ALTA# 1192558

2722 Colby Avenue, Suite 125;Everett, WA 98201
ALTA# 1114318

Please send all loan documents to rainierdocs@rainiertitle.com
Send a Secure Message to Team – FRAUDULENT FUNDING INSTRUCTIONS: Email hacking and fraud are on the rise to fraudulently misdirect funds. Please call your escrow office immediately using contact information found from an independent source, such as the sales contract or internet, to verify any funding instruction received. We are not responsible for any wires sent by you to an incorrect bank account.

This communication may provide an attached document or secure link for your review. As part of our compliance with ALTA Best Practice Rainier sends all documents that contain NPI securely through encrypted email.

The information contained in this message is proprietary and/or confidential and may be privileged. If you are not the intended recipient of this communication, you are hereby notified to:  delete the message and all copies; do not disclose, distribute or use the message in any manner; and notify the sender immediately.

✉ Secured over TLS by powered by OneWorld

** THIS EMAIL IS ENCRYPTED TO PROTECT YOUR NON PUBLIC INFORMATION **
    "
Payment,Balance Information,"RE: 788930RT: 5112 Browns Point Boulevard, Unit D, Tacoma, WA  98422: HOA due Yes, there is a credit of $190.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
Richa
[cid:image001.png@01D71A9D.24078820]
    "
Maintenance,General Repairs,"Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 Hello Nitin,


Thanks for connecting with me over the phone and for your warm welcome to the Flibert Road Community!

My wife and I are in the process of closing the home at 19410 Meridian Pl W, Bothell. Our closing date is Friday (3/19) but we plan to make some interior renovations before finally moving in sometime mid April.

Per our discussion on phone, this interior renovation only includes replacing the old carpet, interior paint of walls and ceilings, replacing the flooring on first floor with Vinyl planks and replacing kitchen counter top. We are not making any changes to the structure (pillars, exterior paint etc.) but still wanted to share this with the board as an FYI.


Please let me know if you have any questions. I can be reached on forward to hearing from you so that I can confirm with the contractor to begin the above work on Saturday (3/20).



Thanks,

Nikhil
    "
Maintenance,General Repairs,"FW: Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 Dear Board,

Below is an email from 19410 Meridian Pl W for the interior modification. Please let us know if you have any questions or concerns.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
Richa
[cid:image001.png@01D71A74.5038B0A0]
    "
Maintenance,General Repairs,"Re: Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 As far as I remember, we don't have policy for internal modifications (that does involve structural changes) so I have no problem with this. Thanx
    "
Information,General Repairs,"Re: Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 No approvals needed, but if PropVivo would please remind them about guest parking and fire lane parking (i.e. their contractors should be in the driveway or need to unload and then move to an appropriate parking location, and they should not be leaving any trucks/trailers in guest parking overnight) that would be very helpful!

Thanks,
Amiee
    "
Information,Other,"Re: Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 Yes, Amiee, we will let them know.

I just wanted the board to be aware about this to ensure that we are on same page.

They are new owners and want to ensure they are following the process.

Regards,
Nitin
    "
Maintenance,Other,"Re: Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 Thanks for the information, Nitin. I appreciate the thoughtfulness of our new neighbors to check in, even if it’s not technically needed. Quite thoughtful and speaks well of them.

Hope you are all doing well. Hope is on the horizon.

Thanks,
Amy    "
Maintenance,Other,"Re: Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 Hi Nitin,

Please let me know once you hear back from the board.


Thanks,
Nikhil
    "
Information,Other,"RE: Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 Hi Nikhil,

We will keep you posted once we hear back from the board.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
Richa
[cid:image001.png@01D71A75.15444350]
    "
Maintenance,Other,"Re: Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 Sounds good, thank you Richa.


-Nikhil
    "
Information,Parking,"RE: Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 Hi Nikhil,

Association don't have policy for internal modifications (that does involve structural changes) so Board has no problem with this.

Please note that guest parking and fire lane parking (i.e. your contractors should be in the driveway or need to unload and then move to an appropriate parking location, and should not be leaving any trucks/trailers in guest parking overnight) that would be very helpful!

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
Richa
[cid:image002.png@01D71A9D.B3D7C910]
    "
Information,Parking,"Re: Interior Renovation at 19410 Meridian Pl W, Bothell, 98012 Thank you for confirming Richa. Appreciate the quick turnaround.

I'll definitely let my contractor know to only park in the drive-way and not leave his truck there overnight.


-Nikhil
    "
Other,Other,"Get a Roof Shampoo(R) by Clean Pro Moss Greetings!

We are Clean Pro Moss, a division of Professional Property Services based in Ruston. It is nice to meet you :)

If you have not heard, Roof Shampoo® is the green, eco-friendly roof cleaning solution for asphalt and fiberglass shingles. The Roof Shampoo® roof cleaning method uses safe, effective, eco-friendly roof cleaning products to clean those ugly roof stains and will not harm any landscaping around your home.

We also offer gutter cleaning, moss prevention, and bird blocking!

We are superior in the industry as others use the bleach cleaning method which:

1. Corrodes metal
2. Releases toxic chlorine gas
3. Permanently kills plants
4. Lightens the stain but does not remove it
5. Runs into the ocean killing marine life
6. Incurs a pollution fine from the city

We DO NOT use bleach. Nothing on our truck has the ability to kill any of your ground cover, bushes, plants, or grass.

We work sunrise to sunset Monday through Saturday and are standing by and ready to go.

Thank you for your time, have a great day, and please enjoy our promo (Ted) Shell
Principle
PPS DBA bonded and    "
Other,Other,"Become a safety hero – download our summary pdf now! Compact practical knowledge
If you are having problems reading this e-mail, please read the online image]
Your safety guideline as download!

Compact practical     Download Mr. / Ms. Nash,
have you, too, turned into a fan of Paul's in the recent weeks?
Then you are one of us! Just like Paul says: ""Promises must be kept!"", and we are keeping ours by providing you with a PDF that has all the information we have covered in our video series.

Download Siemens Safety Team
Follow Siemens
[Twitter        [LinkedIn Icon]    [Facebook Icon]         [Twitter Icon]         [LinkedIn Icon] your subscription / Siemens 2020 Siemens Corporation. 300 New Jersey Avenue, Suite 1000, Washington, D.C. 20001 | email was sent to you by Siemens Corporation in response to your request for information about new products and promotions. If you would like to unsubscribe, please use the Unsubscribe link | Privacy    "
Governing Documents,Amendments,"Completed: Seaview Terrace: Consent to Fifth Amendment 2021 document has been completed
VIEW COMPLETED DOCUMENTS Customer Service
onlineaccounts@propvivo.com

All parties have completed Seaview Terrace: Consent to Fifth Amendment 2021.

Dear Homeowners,

The Seaview Terrace Townhouses Condominium Owners Association had a townhall meeting on July 15th, 2020. The purpose of this meeting was to discuss amending the governing documents as the current governing documents are outdated and need to be brought in compliance with the State of Washington RCW.

During this meeting an important item that was discussed was the ability to amend the governing document. The usual threshold for approval of Declaration amendment is 67%. However the current association original Declaration was written with a provision of 80%.

Before the association embark on the journey to amend the governing document, it is wise to update the provision so that the Declaration amendment can be done with 67%.

We are enclosing the Fifth amendment to Declaration and Covenants that will provide us the ability to amend the future Declaration with 67%.

We request your help to sign and return the “Consent Form”.

If you have any questions, please do not hesitate to contact propVIVO at (888) 392-3515 or email us at  services@propvivo.com.

Sincerely,

Seaview Terrace Townhouses Condominium Owners Association
Board of Directors

Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.

Alternate Signing Method
Visit DocuSign.com, click 'Access Documents', and enter the security code:
616BF02538A84B9FB47371F5FE7E8E5D3

About DocuSign
Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™.

Questions about the Document?
If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly.

Stop receiving this email
Report this or read more about Declining to and Managing you are having trouble signing the document, please visit the Help with page on our Support the DocuSign App message was sent to you by PROPVIVO Customer Service who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.
    "
Documents Request,Other,"Sammamish Shores query Hello,

I am working with the buyer in a pending purchase of Unit 11 in the Sammamish Shores Association.  As part of placing a flood policy for the unit we need to confirm which building the unit is located in.  Two of the buildings, Buildings A & E are not subject to a flood insurance requirement but we have been unable to verify the building letter for the building containing Unit 11.

It is possible that documents for the Association will include a map showing the building letters that apply.



[cid:image001.jpg@01D70E94.E697DDA0]

    "
Documents,Other,"RE: Sammamish Shores query Hi,

Please find attached:

  1.  CCR
  2.  Map
  3.  COI

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
Richa
[cid:image001.png@01D71002.8ECD57C0]
    "
Information,Other,"Cantera CenturyLink services agreement Dear board members,

With regards to the CenturyLink fiber optics installation, I have some questions:

  1.  What will the installation process include in our neighborhood?
  2.  Would CenturyLink not bring fiber optics unless the HOA board agrees to the exclusive advertising agreement?
  3.  Are other fiber optic services available in our area already?

Your consideration and answers are much appreciated,

Eva Forgacs
    "
Information,Information Update,"RE: Cantera CenturyLink services agreement Dear Eva,

Thank you so much for reaching out. The Board is driving this project with the help of volunteers. We forwarded your question to the Board. Once we hear from them, we will get back to you.

If you are interested to serve as a volunteer on this project and to provide recommendations to the Board, please let us know, and we will inform them.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
PropVIVO
[propvivo logo]
    "
Information,Other,"FW: Cantera CenturyLink services agreement Hi Anna,

Below is the question regarding CenturyLink fiber optics installation.

@Sara Wilson<mailto:Sara@propvivo.com> – add this in the excel sheet.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards
propVIVO
[propvivo logo]
    "
Meeting,Meeting Minutes,"RE: Cantera CenturyLink services agreement Please let us know what was discussed in meeting. What shall we reply HO.

-Autogenrated email. Ignore if already taken care.
    "
Other,Other,"RE: Cantera CenturyLink services agreement Added to sheet

Thankyou!
Sara
    "
Other,Other,"ACCT:  340 MSG: CALLER ID:    TAKEN: 10/09/2019 05:05 AM RED1
DELIVERED: 10/09/2019 05:08 AM SYS! TO: 
    "
Governing Documents,Amendments,"Seaview Terrace: Consent to Fifth Amendment 2021 Customer Service sent you a copy.
REVIEW DOCUMENTS Customer Service
onlineaccounts@propvivo.com

Dear Homeowners,

The Seaview Terrace Townhouses Condominium Owners Association had a townhall meeting on July 15th, 2020. The purpose of this meeting was to discuss amending the governing documents as the current governing documents are outdated and need to be brought in compliance with the State of Washington RCW.

During this meeting an important item that was discussed was the ability to amend the governing document. The usual threshold for approval of Declaration amendment is 67%. However the current association original Declaration was written with a provision of 80%.

Before the association embark on the journey to amend the governing document, it is wise to update the provision so that the Declaration amendment can be done with 67%.

We are enclosing the Fifth amendment to Declaration and Covenants that will provide us the ability to amend the future Declaration with 67%.

We request your help to sign and return the “Consent Form”.

If you have any questions, please do not hesitate to contact propVIVO at (888) 392-3515 or email us at  services@propvivo.com.

Sincerely,

Seaview Terrace Townhouses Condominium Owners Association
Board of Directors

Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.

Alternate Signing Method
Visit DocuSign.com, click 'Access Documents', and enter the security code:
A554DCD5BFA64667BF273FA977C393F83

About DocuSign
Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™.

Questions about the Document?
If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly.

Stop receiving this email
Report this or read more about Declining to and Managing you are having trouble signing the document, please visit the Help with page on our Support the DocuSign App message was sent to you by PROPVIVO Customer Service who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.
    "
Meeting,Board Meeting,"SSA Mar 2021 Board Meeting Updates Team,

SSA Mar 2021 Board Meeting Updates:


  1.  Agenda - Done
  2.  Portal updates - Done
  3.  February financials - Done
  4.  February meeting minutes - Pending

Dropbox -Mar 16, 2021 Board with Dropbox
www.dropbox.com

Thank you,
Jessica

    "
Meeting,Board Meeting,"Re: SSA Mar 2021 Board Meeting Updates Team,

SSA Mar 2021 Board Meeting Updates:


  1.  Agenda - Done
  2.  Portal updates - Done
  3.  February financials - Done
  4.  February meeting minutes - Pending

Dropbox -Mar 16, 2021 Board with Dropbox
www.dropbox.com

Thank you,
Jessica

    "
Governing Documents,Amendments,"Seaview Terrace: Consent to Fifth Amendment 2021 Customer Service sent you a copy.
REVIEW DOCUMENTS Customer Service
onlineaccounts@propvivo.com

Dear Homeowners,

The Seaview Terrace Townhouses Condominium Owners Association had a townhall meeting on July 15th, 2020. The purpose of this meeting was to discuss amending the governing documents as the current governing documents are outdated and need to be brought in compliance with the State of Washington RCW.

During this meeting an important item that was discussed was the ability to amend the governing document. The usual threshold for approval of Declaration amendment is 67%. However the current association original Declaration was written with a provision of 80%.

Before the association embark on the journey to amend the governing document, it is wise to update the provision so that the Declaration amendment can be done with 67%.

We are enclosing the Fifth amendment to Declaration and Covenants that will provide us the ability to amend the future Declaration with 67%.

We request your help to sign and return the “Consent Form”.

If you have any questions, please do not hesitate to contact propVIVO at (888) 392-3515 or email us at  services@propvivo.com.

Sincerely,

Seaview Terrace Townhouses Condominium Owners Association
Board of Directors

Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.

Alternate Signing Method
Visit DocuSign.com, click 'Access Documents', and enter the security DocuSign
Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™.

Questions about the Document?
If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly.

Stop receiving this email
Report this or read more about Declining to and Managing you are having trouble signing the document, please visit the Help with page on our Support the DocuSign App message was sent to you by PROPVIVO Customer Service who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.
    "
Meeting,Annual Meeting,"Please DocuSign Proxy: Westwood Village annual meeting Customer Service sent you a copy.
REVIEW DOCUMENT Customer Service
onlineaccounts@propvivo.com

Dear Homeowner,

We hope you are doing well and safe!

The 2021 Annual Meeting of Members of  Westwood Village Owners Association will be held on Monday, March 15th, 2021 from 6:00 PM to 7:00 PM. The meeting will be an online meeting. Please join the meeting via Microsoft Teams.

URL: agenda for the meeting is in the meeting letter enclosed with this announcement.

The Board would like to emphasize that your presence and your vote is extremely important, since the HOA requires the quorum of the Members present in person or by proxy, in order to have a valid vote.

A proxy is only necessary if you will not be attending the meeting, but we request you to send the proxy even if you are attending the meeting so that if you change your plan at the last moment, we will have your proxy as you vote. Please send your proxy to proxy@propvivo.com. If we don't get a quorum, we will have to reschedule the 2021 Annual Meeting to meet the requirements of governing documents, resulting in additional expenses for the Association in organizing the meeting.

If you are unable to attend the meeting, we have enclosed a proxy for your use. You can appoint any person who would attend the meeting and vote on your behalf, and mention his/her designation or you can appoint the President of the Board of Directors (default option).

We look forward to seeing you at the meeting on Monday, March 15th, 2021.

Thanks,    "
Reservation,Cabana,"Palomino Clubhouse Reservation Hello,

I would like to reserve the Palomino at Redford Ranch clubhouse room for a baby shower on Sunday, December 22nd from 10-4? If so, what is the cost and could you send me the agreement for reserving the room to review? Thank you!

Alaina
22756 SE 12th Lane
--
Kind Regards,
Alaina Zender
(425) 606-0005
    "
Reservation,Cabana,"RE: Palomino Clubhouse Reservation Hi Alaina,


Thank you for reaching out to us!

The fee for using the cabana is $50/instance. There will be a cleaning charge of $125, if the cabana is not found clean after the use.

Please let us know if you would like to move forward with the reservation.

You can make the check payable to:
""Palomino at Redford Ranch C/O Propvivo Inc"".

Address to send the check is: 2018 156th AVE NE, Bellevue, WA 98007

The key for the cabana is available for $40
Kindly let us know if you have any questions. You can reach us at or call us at & Regards
propVIVO
[propvivo logo]
    "
Reservation,Cabana,"Pasadera Heights HOA November 25th,2019 and 2020 First half reservation, 6:30 to 8:30pm Hi Debbie,

We hope you are doing well!

Please find the attached reservation form for November 25th, 2019 and 2020 First half reservation, 6:30 to 8:30 pm for HOA meeting for Pasadera Heights HOA.

Please confirm the reservation.

Kindly let us know if you have any questions. You can reach us at or call us at logo]



    "
Reservation,Cabana,"RE: Pasadera Heights HOA November 25th,2019 and 2020 First half reservation, 6:30 to 8:30pm Hi,

Requesting you to please confirm the reservation.

Thanks,
propVIVO
    "
Approval,Invoice,"RE: Pasadera Heights HOA November 25th,2019 and 2020 First half reservation, 6:30 to 8:30pm Your confirmation was send on Wednesday, 10/9. I will re-send, but maybe check your junk mail just in case.

Debbie Jennings
Office Assistant
Lake Stevens Fire
1825 S Lk Stevens Rd
Lake Stevens, WA 98258
Phone:    "
Reservation,Other,"RE: Pasadera Heights HOA November 25th,2019 and 2020 First half reservation, 6:30 to 8:30pm Thank you so much!!
    "
Maintenance,Landscaping,"6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate Hi Carlos,

Good Morning!

This is in reference to 6501 Lake Washington Boulevard.

Address: 6501 Lake Washington Blvd NE, Kirkland, WA 98033.

The board is looking for a landscaper and would like to have a walkthrough.

One of the board member is available this Thursday afternoon and all day Friday. Next week is pretty open.

Please let me know when can I schedule the visit.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards,
Matt Clarke
[propvivo logo]
    "
Maintenance,Landscaping,"6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate Hi Tracy,

Good Morning!

This is in reference to 6501 Lake Washington Boulevard.

Address: 6501 Lake Washington Blvd NE, Kirkland, WA 98033.

The board is looking for a landscaper and would like to have a walkthrough.

One of the board member is available this Thursday afternoon and all day Friday. Next week is pretty open.

Please let me know when can I schedule the visit.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards,
Matt Clarke
[propvivo logo]
    "
Maintenance,Landscaping,"6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate Hi Dough,

Good Morning!

This is in reference to 6501 Lake Washington Boulevard.

Address: 6501 Lake Washington Blvd NE, Kirkland, WA 98033.

The board is looking for a landscaper and would like to have a walkthrough.

One of the board member is available this Thursday afternoon and all day Friday. Next week is pretty open.

Please let me know when can I schedule the visit.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards,
Matt Clarke
[propvivo logo]
    "
Maintenance,Landscaping,"6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate Hi Jerry,

Good Morning!

This is in reference to 6501 Lake Washington Boulevard.

Address: 6501 Lake Washington Blvd NE, Kirkland, WA 98033.

The board is looking for a landscaper and would like to have a walkthrough.

One of the board member is available this Thursday afternoon and all day Friday. Next week is pretty open.

Please let me know when can I schedule the visit.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards,
Matt Clarke
[propvivo logo]
    "
Maintenance,Landscaping,"Re: 6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate 

On Wed, Feb 24, 2021 at 10:07 AM PROPVIVO Customer Service wrote:
Hi Jerry,

Good Morning!

This is in reference to 6501 Lake Washington Boulevard.

Address: 6501 Lake Washington Blvd NE, Kirkland, WA 98033.

The board is looking for a landscaper and would like to have a walkthrough.

One of the board member is available this Thursday afternoon and all day Friday. Next week is pretty open.

Please let me know when can I schedule the visit.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards,
Matt Clarke
[propvivo logo]


--
Thanks Much,


Jerry Cooper
President
Greening America Landscaping    "
Proposal,Questions,"Re: 6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate Hi Matt,

Please find attached the proposal for Marsh Place.

Please let me know if you have any questions or concerns
    "
Maintenance,Other,"Re: 6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate Thursday works for me.
    "
Maintenance,Landscaping,"RE: 6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate Hi Jerry,

Thanks for confirming.

I am scheduling visit for Thursday, February 25th at 12:00.

You will be meeting Paul Pendlebury on-site and he can be contacted at can also buzz 101 for  Paul.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards,
Matt Clarke
[propvivo logo]
    "
Maintenance,Landscaping,"Re: 6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate Confirmed, thank you.
    "
Maintenance,Landscaping,"RE: 6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate Hi Jerry,

Good Afternoon!

Following up on the estimate request.

Kindly let us know if you have any questions. You can reach us at or call us at & Regards,
Matt Clarke
[propvivo logo]
    "
Maintenance,Other,"Undeliverable: 6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate message to couldn't be delivered.
dough wasn't found at thenorthwestgardener.com.
services        Office 365      dough
Action Required                 Recipient
Unknown To address

How to Fix It
The address might be misspelled or might not exist. Try one or more of the following:

  *   Retype the recipient's address, then resend the message - If you're using Outlook, open this non-delivery report message and click Send Again from the menu or ribbon. In Outlook on the web, select this message, and then click the ""To send this message again, click here."" link located just above the message preview window. In the To or Cc line, delete and then retype the entire recipient's address (ignore any address suggestions). After typing the complete address, click Send to resend the message. If you're using an email program other than Outlook or Outlook on the web, follow its standard way for resending a message. Just be sure to delete and retype the recipient's entire address before resending it.
  *   Remove the recipient from the recipient Auto-Complete List, then resend the message - If you're using Outlook or Outlook on the web, follow the steps in the ""Remove the recipient from the recipient Auto-Complete List"" section of this Then resend the message. Be sure to delete and retype the recipient's entire address before clicking Send.
  *   Contact the recipient by some other means, (by phone, for example) to confirm you're using the right address. Ask them if they've set up an email forwarding rule that could be forwarding your message to an incorrect address.

If the problem continues, ask the recipient to tell their email admin about the problem, and give them the error (and the name of the server that reported it) shown below. It's likely that only the recipient's email admin can fix this problem.

Was this helpful? Send feedback to    "
Meeting,Organize Meeting,"Re: 6501 Lake Washington Boulevard - A Condominium: Landscaping Estimate Hello Matt,

We can meet Friday or Next week Monday to Friday any time from 10am to 5pm.

Thank you and Have a great day .

Please let me know .

Thank you and Have a great day .


Sent from Yahoo Mail for    "
Documents,Financials,"LWB Financials February 2021 Dear Board,

Attached are the financials for the month of February 2021.

Kindly let us know if you have any questions.



Thanks & Regards

propVIVO
[cid:image001.png@01D716B3.B77D2CB0]


    "
Approval,Invoice,"New Professional Invoice for Mustang Resources #2019171 see attached. Review and confirm receipt.

Thanks

Mary Smith
Mustang Resources LLC

    "
Approval,Invoice,"Letterstream Order Confirmation - TCH Delinquency Letters Mar 10 2021 Confirmation

Thank you for using LetterStream!

We received the following job:

Job Name: TCH Delinquency Letters Mar 10 2021

Job ID: Type: _Windowed Letter (1stclass)

Received: March 14, 2021

Quantity: 7

Mailing Method: First-Class

Status: deletes done - waiting for printing

Inserts requested:
1 sheet 8.5x11 20 lb Plain White Simplex **COLOR**
1 sheet #10 Double Window Secure Outer Envelope (FC) Simplex Black

You will receive one more email after the job has been mailed.

At any time you may check the status of this job at the LetterStream website.

If this information is not accurate, please contact LetterStream at or email the LetterStream Production Department at again, thank you for your order.


LetterStream Production




LetterStream -- Copyright 2021 --    "
Documents,Financials,"BLH Financials February 2021 Dear Board,

Attached are the financials for the month of February 2021.

Kindly let us know if you have any questions.



Thanks & Regards

propVIVO
[cid:image001.png@01D71527.BC850120]

    "
Documents,Financials,"Re: BLH Financials February 2021 Thanks, well done

Sent from my Verizon, Samsung Galaxy smartphone
Get Outlook for    "
Governing Documents,Amendments,"Seaview Terrace: Consent to Fifth Amendment 2021 Customer Service sent you a copy.
REVIEW DOCUMENTS Customer Service
onlineaccounts@propvivo.com

Dear Homeowners,

The Seaview Terrace Townhouses Condominium Owners Association had a townhall meeting on July 15th, 2020. The purpose of this meeting was to discuss amending the governing documents as the current governing documents are outdated and need to be brought in compliance with the State of Washington RCW.

During this meeting an important item that was discussed was the ability to amend the governing document. The usual threshold for approval of Declaration amendment is 67%. However the current association original Declaration was written with a provision of 80%.

Before the association embark on the journey to amend the governing document, it is wise to update the provision so that the Declaration amendment can be done with 67%.

We are enclosing the Fifth amendment to Declaration and Covenants that will provide us the ability to amend the future Declaration with 67%.

We request your help to sign and return the “Consent Form”.

If you have any questions, please do not hesitate to contact propVIVO at (888) 392-3515 or email us at  services@propvivo.com.

Sincerely,

Seaview Terrace Townhouses Condominium Owners Association
Board of Directors

Do Not Share This Email
This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others.

Alternate Signing Method
Visit DocuSign.com, click 'Access Documents', and enter the security code:
A578BE60079C495F9D925EFB419DFCF83

About DocuSign
Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™.

Questions about the Document?
If you need to modify the document or have questions about the details in the document, please reach out to the sender by emailing them directly.

Stop receiving this email
Report this or read more about Declining to and Managing you are having trouble signing the document, please visit the Help with page on our Support the DocuSign App message was sent to you by PROPVIVO Customer Service who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request.
    "
Rental,Lease Agreement,"FW: Rental - Unit # 39 

From: Sandra Wallace <sewallace1211@outlook.com>
Sent: Monday, July 22, 2019 5:02 PM
To: Rahul <Rahul@propvivo.com>; Peter Roy <peter@propvivo.onmicrosoft.com>; Nitin Dixit <nitin@propvivo.com>
Cc: Barbara Follett <barbfollett@q.com>; Michele Bader <michbad@gmail.com>
Subject: Rental - Unit # 39

Looking to finalize new lease within 10 days.

Please be sure you assess the move in – move out fees.

Thx.

Sandra E Wallace, President
On Behalf of the Board of Directors
Channel Place Community Club

    "
